year_built,beds,baths_full,garage,baths_half,lot_size,building_size,price,baths,is_new_construction,photo_count
2006,4,2,2.0,1.0,20909,2452,465000,3,False,28
1971,5,3,2.0,0.0,15682,3171,430000,3,False,30
1939,3,1,0.0,0.0,6970,1673,315000,1,False,15
1985,2,2,2.0,0.0,6970,1464,150000,2,False,8
1997,3,3,1.0,0.0,2614,1605,185000,3,False,29
1981,3,2,1.0,0.0,43560,1400,240000,2,False,18
2006,3,2,2.0,0.0,8712,1792,283000,2,False,23
1995,3,2,2.0,0.0,10890,1644,252000,2,False,29
1936,3,1,0.0,1.0,9583,1453,337000,2,False,8
1955,3,1,0.0,0.0,14375,1104,146500,1,False,20
2004,4,3,2.0,0.0,4792,2164,280000,3,False,18
1985,3,2,2.0,0.0,21780,2210,288900,2,False,21
2006,4,3,2.0,0.0,56192,2693,350000,3,False,30
1971,4,2,2.0,2.0,20473,2668,204750,4,False,5
1986,3,2,0.0,0.0,10454,2132,240000,2,False,30
2000,4,3,2.0,0.0,20038,2774,445000,3,False,26
1982,4,3,2.0,0.0,96703,3629,675000,3,False,28
1981,3,2,1.0,0.0,,1472,210000,2,False,7
1991,4,3,2.0,0.0,17860,2251,400000,3,False,30
1982,3,2,2.0,0.0,9583,1561,235000,2,False,26
2020,4,4,3.0,0.0,21780,3263,709866,4,True,1
1955,4,3,0.0,1.0,14375,2093,246000,4,False,29
1994,3,2,2.0,0.0,12632,2637,325000,2,False,30
2005,4,2,2.0,0.0,54886,1814,282000,2,False,20
1954,3,2,0.0,0.0,16553,1240,99900,2,False,1
1979,4,3,1.0,0.0,13939,1692,208000,3,False,15
1972,3,2,0.0,0.0,59677,1483,350000,2,False,30
1973,3,1,0.0,0.0,6098,1263,137500,1,False,17
1996,3,2,2.0,0.0,10019,1832,257735,2,False,27
1990,3,2,2.0,1.0,11761,1978,288500,3,False,28
1983,3,2,1.0,0.0,10454,2091,214000,2,False,20
1989,4,2,2.0,0.0,14810,2350,312000,2,False,24
1926,3,2,0.0,1.0,9583,2581,343500,3,False,24
2002,5,3,2.0,0.0,11761,3058,320000,3,False,30
1973,5,4,0.0,0.0,46174,3758,300000,4,False,29
2009,3,2,2.0,0.0,6534,1492,260000,2,False,28
2006,4,3,3.0,1.0,17860,3664,610000,4,False,30
1978,3,2,1.0,0.0,10454,1292,195000,2,False,30
1990,3,2,2.0,0.0,20909,2674,385000,2,False,30
2000,3,2,2.0,0.0,4792,1620,245000,2,False,22
1996,3,2,2.0,0.0,6970,1458,212500,2,False,12
1992,3,2,2.0,1.0,43560,2900,500000,3,False,30
1945,3,1,0.0,0.0,6534,1150,165000,1,False,23
2008,4,3,2.0,0.0,8712,2907,470000,3,False,30
2000,3,2,2.0,0.0,10019,1722,255000,2,False,30
1983,4,3,2.0,1.0,56628,2810,330000,4,False,30
2014,2,2,2.0,0.0,4792,1250,245000,2,False,18
1982,3,2,2.0,0.0,10454,1742,230000,2,False,29
1995,3,2,2.0,0.0,8712,1563,244000,2,False,27
1984,3,2,2.0,0.0,21780,1999,265500,2,False,26
2013,3,2,2.0,0.0,14375,1630,293000,2,False,30
2015,3,2,2.0,0.0,8276,1930,365000,2,False,30
1980,3,1,0.0,1.0,4356,1036,95000,2,False,24
1976,3,1,1.0,0.0,10890,1063,143000,1,False,11
2011,4,2,2.0,1.0,6534,2015,313000,3,False,24
2020,3,2,2.0,0.0,5227,1620,275500,2,True,2
1967,4,2,0.0,0.0,13068,1884,66500,2,False,6
2002,2,2,2.0,0.0,3485,1602,227000,2,False,27
1988,2,2,2.0,0.0,9583,1157,180000,2,False,29
1963,3,2,2.0,0.0,14810,1966,239000,2,False,19
1967,4,3,1.0,0.0,130244,2218,321000,3,False,28
1942,3,1,0.0,0.0,10019,1095,38249,1,False,8
1961,4,3,2.0,0.0,16553,1999,330000,3,False,22
1979,3,2,1.0,0.0,13068,1025,157900,2,False,22
1997,3,2,2.0,0.0,14375,1629,260000,2,False,19
1965,4,3,0.0,1.0,30928,4000,549900,4,False,24
1959,3,2,0.0,0.0,10019,1315,200000,2,False,26
2015,3,2,2.0,0.0,9148,1241,154000,2,False,12
1962,3,2,0.0,0.0,43560,2001,310000,2,False,21
1952,3,2,1.0,0.0,11761,1392,110000,2,False,25
2020,3,2,2.0,0.0,7405,1892,340560,2,True,30
2005,3,2,2.0,0.0,10890,1447,215000,2,False,30
2004,3,2,2.0,0.0,4792,1427,209000,2,False,24
2017,3,2,2.0,0.0,7405,1508,294900,2,False,28
2014,4,3,2.0,0.0,11326,2412,335000,3,False,25
1975,4,3,3.0,1.0,37026,2732,435000,4,False,30
2020,3,2,2.0,0.0,6534,1722,246693,2,True,19
2016,3,2,2.0,0.0,5227,1783,308000,2,False,30
2020,5,3,3.0,1.0,6098,2593,361312,4,True,29
2018,5,3,2.0,0.0,3485,2350,369900,3,False,30
1973,3,2,2.0,0.0,16117,1988,238500,2,False,30
1956,3,2,1.0,0.0,18731,1349,189500,2,False,30
1993,4,2,2.0,0.0,11326,2104,326750,2,False,29
1989,3,3,3.0,0.0,46174,2409,405000,3,False,1
2003,4,2,2.0,0.0,6098,2024,299900,2,False,6
2020,6,4,3.0,1.0,3485,3400,476485,5,True,8
1996,2,2,2.0,0.0,3485,1646,238000,2,False,28
2019,3,2,2.0,1.0,3485,1675,277900,3,True,6
2004,4,3,2.0,2.0,11761,3093,474900,5,False,24
1962,3,2,2.0,0.0,18731,2230,222700,2,False,27
2002,4,2,2.0,0.0,47916,1884,305000,2,False,30
1972,3,2,2.0,0.0,13939,2225,265900,2,False,22
1996,3,2,2.0,0.0,8276,1798,234000,2,False,22
1961,3,2,0.0,0.0,14375,1414,130000,2,False,12
2009,3,2,2.0,0.0,6970,1608,283900,2,False,30
